"id","reference","CellID","ItClust","Seurat","SingleCellNet","SingleR"
"406","X122941","BoneMarrow",1,0,1,1,1
"407","X122954","BoneMarrow",0,1,0.1,0,0
"408","X123022","BoneMarrow",1,0,0.8,1,0.7
"409","X123087","BoneMarrow",1,0,1,1,1
"410","X123134","BoneMarrow",0,0,0.4,0,0.3
"411","X123135","BoneMarrow",1,0,1,1,1
"412","X123173","BoneMarrow",0.2,1,1,1,1
"413","X123266","BoneMarrow",0,0.1,0.9,1,0
"414","X123270","BoneMarrow",1,0,1,0.5,1
"415","X123451","BoneMarrow",0,0,0,0,0
"416","X123558","BoneMarrow",1,0.8,1,1,1
"417","X123568","BoneMarrow",0,1,0.9,1,0.9
"418","X123843","BoneMarrow",1,1,0.8,1,0.9
"419","X123970","BoneMarrow",0.8,0,0.8,1,1
"420","X124060","BoneMarrow",1,1,0.1,1,1
"421","X124399","BoneMarrow",1,0,0.9,1,1
"422","X124433","BoneMarrow",1,1,1,1,1
"423","X124447","BoneMarrow",0,0,1,1,1
"424","X124454","BoneMarrow",0,1,1,1,0
"425","X124515","BoneMarrow",1,1,1,1,1
"426","X124522","BoneMarrow",1,1,1,0.8,1
"427","X124741","BoneMarrow",1,0,1,1,0.8
"428","X125069","BoneMarrow",1,0.3,0.4,0.1,1
"429","X125078","BoneMarrow",0.85,1,1,1,1
"430","X12520","BoneMarrow",0,0,1,1,1
"431","X125300","BoneMarrow",0,0,1,1,0.9
"432","X125319","BoneMarrow",0,0,0.9,0.9,1
"433","X125430","BoneMarrow",1,1,0.4,0.9,0.1
"434","X125471","BoneMarrow",1,1,1,1,1
"435","X125668","BoneMarrow",1,1,1,1,1
"436","X12567","BoneMarrow",0,1,0,0.4,0
"437","X125721","BoneMarrow",1,1,1,1,1
"438","X125732","BoneMarrow",0,0,1,1,1
"439","X12574","BoneMarrow",1,1,1,1,1
"440","X125954","BoneMarrow",1,1,1,1,1
"441","X12600","BoneMarrow",1,0,1,1,1
"442","X126104","BoneMarrow",1,0,1,1,0.8
"443","X126356","BoneMarrow",0,1,1,1,0
"444","X126456","BoneMarrow",0.05,0,1,1,1
"445","X126576","BoneMarrow",1,1,1,1,1
"446","X126647","BoneMarrow",1,0,1,1,1
"447","X126684","BoneMarrow",1,1,1,1,1
"448","X126721","BoneMarrow",0,1,1,1,0.7
"449","X126764","BoneMarrow",0.9,1,0.9,1,0.8
"450","X126795","BoneMarrow",1,1,1,1,1
"451","X126853","BoneMarrow",0.1,0,1,0.8,1
"452","X12694","BoneMarrow",1,1,1,1,1
"453","X127025","BoneMarrow",1,1,1,1,1
"454","X127034","BoneMarrow",0,0,0.9,1,1
"455","X127092","BoneMarrow",1,1,1,1,1
"456","X127241","BoneMarrow",0,0,1,0.9,0.7
"457","X127304","BoneMarrow",1,1,1,1,1
"458","X127351","BoneMarrow",0,0,0,1,1
"459","X127397","BoneMarrow",1,1,0.5,1,1
"460","X127579","BoneMarrow",0,0,1,0.9,0.8
"461","X127589","BoneMarrow",1,1,1,1,1
"462","X127598","BoneMarrow",1,0,0.8,1,0
"463","X1276","BoneMarrow",0.05,0.9,1,1,0
"464","X127687","BoneMarrow",1,1,0.8,1,1
"465","X127766","BoneMarrow",0.1,1,0.9,0.2,1
"466","X127788","BoneMarrow",0,1,1,1,1
"467","X128146","BoneMarrow",1,1,1,1,1
"468","X128240","BoneMarrow",1,1,0,0,0
"469","X128334","BoneMarrow",1,0,1,1,1
"470","X128380","BoneMarrow",0,0,0,0.1,0
"471","X128579","BoneMarrow",1,1,1,1,1
"472","X128630","BoneMarrow",0,0,0,0.7,0
"473","X128690","BoneMarrow",1,1,1,1,1
"474","X12877","BoneMarrow",0,1,1,1,1
"475","X128819","BoneMarrow",1,1,0.9,1,0.7
"476","X128925","BoneMarrow",1,1,0.9,0,1
"477","X129018","BoneMarrow",0,0,1,1,1
"478","X129079","BoneMarrow",0.9,1,1,1,1
"479","X12909","BoneMarrow",1,0,1,1,1
"480","X129121","BoneMarrow",0,0.8,1,1,1
"481","X129130","BoneMarrow",0.05,1,0,0.8,0.4
"482","X129143","BoneMarrow",0.1,0.9,1,1,0
"483","X129154","BoneMarrow",0.15,1,1,1,0.3
"484","X129200","BoneMarrow",0,1,1,1,0
"485","X129357","BoneMarrow",1,0,1,1,1
"486","X129400","BoneMarrow",1,1,1,1,1
"487","X129497","BoneMarrow",1,0,1,1,1
"488","X129504","BoneMarrow",1,0,1,1,1
"489","X129598","BoneMarrow",1,0,0.9,1,1
"490","X129612","BoneMarrow",0,0,1,1,1
"491","X129644","BoneMarrow",1,1,1,1,1
"492","X129697","BoneMarrow",1,1,1,1,1
"493","X129698","BoneMarrow",1,1,1,1,1
"494","X1297","BoneMarrow",0,0,1,1,1
"495","X129829","BoneMarrow",0.55,0.8,0,0,1
"496","X129862","BoneMarrow",1,1,1,1,1
"497","X129919","BoneMarrow",1,0,1,1,1
"498","X130053","BoneMarrow",1,1,1,1,1
"499","X130090","BoneMarrow",0.2,0.8,0,1,1
"500","X130176","BoneMarrow",1,0,1,1,1
"501","X130226","BoneMarrow",1,0,1,1,1
"502","X130277","BoneMarrow",1,0,1,1,1
"503","X130316","BoneMarrow",1,1,1,1,1
"504","X130356","BoneMarrow",0,0,0.6,1,0
"505","X130391","BoneMarrow",1,0,1,1,1
"506","X130437","BoneMarrow",1,1,1,1,1
"507","X130482","BoneMarrow",1,0,1,1,1
"508","X130614","BoneMarrow",0.05,1,0,0,0
"509","X130688","BoneMarrow",1,1,1,1,1
"510","X130940","BoneMarrow",1,0,1,1,1
"511","X131137","BoneMarrow",1,1,1,1,1
"512","X131157","BoneMarrow",0,1,1,1,0
"513","X131213","BoneMarrow",1,0,1,1,1
"514","X131296","BoneMarrow",0,1,1,1,1
"515","X131297","BoneMarrow",1,0,1,1,1
"516","X131458","BoneMarrow",0.2,0,1,1,1
"517","X131730","BoneMarrow",1,1,1,1,1
"518","X131756","BoneMarrow",1,0,1,1,1
"519","X131788","BoneMarrow",1,1,1,1,1
"520","X131861","BoneMarrow",1,0,1,1,1
"521","X1319","BoneMarrow",0,1,0.6,0.6,0.9
"522","X131936","BoneMarrow",1,0,1,1,1
"523","X131992","BoneMarrow",1,0,1,1,1
"524","X132000","BoneMarrow",0.2,0.8,0.1,0.9,0.6
"525","X132051","BoneMarrow",0.3,0.9,1,0.5,0
"526","X132103","BoneMarrow",0.2,0.7,1,0.5,1
"527","X132199","BoneMarrow",1,1,0,1,1
"528","X132205","BoneMarrow",1,1,1,1,1
"529","X132521","BoneMarrow",0,0,1,1,1
"530","X132641","BoneMarrow",1,0,1,1,1
